Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;No;Material;Choque;CR 44 CL 39;CR;44;CL;39;1;no;no;no;2019;May;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CR 45 CL 39;CR;45;CL;39;3;no;no;no;2019;December;Fri;6.33;Moderado
Tarde;No;No;Material;Choque;CR 45 CL 39;CR;45;CL;39;3;no;no;no;2021;June;Tue;6.33;Moderado
Tarde;No;Si;Material;Choque;CR 45 CL 39;CR;45;CL;39;3;no;no;no;2021;July;Fri;9.33;Moderado
Morning;No;No;Material;Choque;CL 39 CR 50;CL;39;CR;50;3;no;no;no;2018;October;Wed;6.0;Bajo
Tarde;No;No;Material;Choque;CR 50 CL 39;CR;50;CL;39;2;no;no;no;2018;October;Wed;5.33;Bajo
Morning;No;No;Material;Choque;CL 39 CR 50;CL;39;CR;50;3;no;no;no;2020;October;Thu;6.0;Bajo
Morning;No;No;Heridos;Choque;CL 39 CR 50;CL;39;CR;50;3;si;no;no;2021;August;Mon;7.0;Moderado
Morning;No;No;Heridos;Choque;CR 50 CL 39;CR;50;CL;39;2;si;no;no;2022;August;Thu;6.0;Bajo
Morning;Si;No;Material;Choque;CR 8 CL 39;CR;8;CL;39;1;no;no;no;2020;February;Tue;7.0;Moderado
Morning;No;No;Material;Choque;CL 39 ENTRE CR 33 35;CL;39;CR;33;1;no;no;no;2018;June;Fri;4.0;Bajo
Noche;No;Si;Heridos;Choque;CL 3O CR 41 B;CL;3O;CR;41;1;si;no;no;2022;August;Sun;8.67;Moderado
Tarde;No;No;Material;Choque;CL 4 30 453;CL;4;;;1;no;no;no;2018;March;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;CL 4 38 29;CL;4;;;1;no;no;no;2019;December;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;1;no;no;no;2019;February;Thu;4.33;Bajo
Morning;No;No;Material;Choque;CR 30 CL 4;CR;30;CL;4;1;no;no;no;2019;June;Sat;4.0;Bajo
Tarde;No;Si;Material;Choque;CL 4 CR 30;CL;4;CR;30;6;no;no;no;2019;October;Tue;9.33;Moderado
Morning;Si;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;6;no;no;no;2019;October;Tue;9.0;Moderado
Morning;No;No;Material;Choque;CR 30 CL 4;CR;30;CL;4;3;no;no;no;2019;November;Fri;6.0;Bajo
Morning;No;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;6;no;no;no;2019;November;Tue;6.0;Bajo
Morning;No;No;Material;Choque;CR 30 CL 4;CR;30;CL;4;3;no;no;no;2019;November;Mon;6.0;Bajo
Morning;No;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;6;no;no;no;2020;May;Sat;6.0;Bajo
Morning;Si;No;Material;Choque;CR 30 CL 4;CR;30;CL;4;3;no;no;no;2020;July;Sat;9.0;Moderado
Noche;No;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;6;no;no;no;2020;November;Wed;6.67;Moderado
Morning;No;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;6;no;no;no;2021;February;Sat;6.0;Bajo
Tarde;No;No;Material;Choque;CR 30 CL 4;CR;30;CL;4;1;no;no;no;2022;April;Sat;4.33;Bajo
Tarde;No;No;Material;Choque;CL 4 CR 30;CL;4;CR;30;1;no;no;no;2022;May;Wed;4.33;Bajo
Tarde;No;No;Material;Choque;CL 4 CR 30 CR 38;CL;4;CR;30;1;no;no;no;2021;August;Wed;4.33;Bajo
Tarde;No;No;Material;Choque;CL 4 CR 30 38;CL;4;CR;30;1;no;no;no;2019;March;Thu;4.33;Bajo
Noche;No;Si;Material;Choque;CR 30 CL 4 6;CR;30;CL;4;1;no;no;no;2018;March;Tue;7.67;Moderado
Tarde;No;No;Material;Choque;CR 38 CL 4;CR;38;CL;4;1;no;no;no;2018;February;Mon;4.33;Bajo
Morning;No;No;Material;Choque;CR 38 CL 4;CR;38;CL;4;4;no;no;no;2020;March;Sat;6.0;Bajo
Tarde;No;No;Heridos;Choque;CR 38 CL 4;CR;38;CL;4;4;si;no;no;2020;March;Tue;7.33;Moderado
Noche;No;Si;Material;Choque;CR 38 CL 4;CR;38;CL;4;4;no;no;no;2020;September;Mon;9.67;Moderado
Tarde;No;No;Material;Choque;CR 38 CL 4;CR;38;CL;4;4;no;no;no;2020;November;Thu;6.33;Moderado
Morning;No;No;Material;Choque;CL 4 CR 38;CL;4;CR;38;1;no;no;no;2021;June;Mon;4.0;Bajo
Tarde;No;No;Material;Choque;CL 4 CR 38;CL;4;CR;38;5;no;no;no;2021;November;Fri;6.33;Moderado
Tarde;No;No;Material;Choque;CL 4 CR 38;CL;4;CR;38;1;no;no;no;2022;February;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CL 4 CR 38;CL;4;CR;38;5;no;no;no;2022;April;Fri;6.33;Moderado
Tarde;No;No;Material;Choque;CL 4 CR 38;CL;4;CR;38;5;no;no;no;2022;April;Wed;6.33;Moderado
Tarde;No;No;Material;Choque;CL 4 CR 38;CL;4;CR;38;5;no;no;no;2022;October;Sat;6.33;Moderado
Noche;No;No;Heridos;Choque;CL 4 CR 38;CL;4;CR;38;5;si;no;no;2023;August;Thu;7.67;Moderado
Morning;No;No;Material;Choque;CL 4 CR 38 30;CL;4;CR;38;1;no;no;no;2020;July;Tue;4.0;Bajo
Morning;No;No;Material;Choque;CR 3B CL 4;CR;3B;CL;4;1;no;no;no;2019;December;Tue;4.0;Bajo
Tarde;No;No;Material;Choque;CR 42 CL 4;CR;42;CL;4;1;no;no;no;2018;November;Sat;4.33;Bajo
Tarde;No;Si;Material;Choque;CL 4 CR 47;CL;4;CR;47;1;no;no;no;2019;October;Sat;7.33;Moderado
Tarde;No;No;Material;Choque;CR 48 CL 4;CR;48;CL;4;1;no;no;no;2019;August;Wed;4.33;Bajo
Tarde;No;Si;Material;Choque;CL 4 ENTRE CR 30 38;CL;4;CR;30;1;no;no;no;2020;October;Wed;7.33;Moderado
Tarde;No;No;Material;Choque;CL 4 FRENTE AL 30 387;CL;4;;;1;no;no;no;2022;April;Sat;4.33;Bajo
Morning;No;No;Material;Choque;CL 40 CR 27;CL;40;CR;27;1;no;no;no;2022;January;Sun;4.0;Bajo
Morning;No;No;Heridos;Choque;CL 40 14 155;CL;40;;;1;si;no;no;2024;November;Tue;5.0;Bajo
Morning;No;No;Material;Choque;CL 40 44 39;CL;40;;;1;no;no;no;2021;December;Mon;4.0;Bajo
Morning;No;No;Material;Choque;CL 40 45 27;CL;40;;;1;no;no;no;2022;January;Sun;4.0;Bajo
Noche;No;Si;Heridos;Choque;CL 40 22 50;CL;40;;;1;si;no;no;2023;April;Sat;8.67;Moderado
Noche;No;Si;Material;Choque;CL 40 22 37;CL;40;;;1;no;no;no;2020;November;Sat;7.67;Moderado
Noche;No;Si;Material;Choque;CL 40 24 96;CL;40;;;1;no;no;no;2019;May;Tue;7.67;Moderado
Morning;No;No;Muertos;Choque;CL 40 25 88;CL;40;;;1;no;no;no;2020;March;Fri;6.0;Bajo
Noche;No;No;Material;Choque;CL 40 31 85;CL;40;;;1;no;no;no;2018;April;Mon;4.67;Bajo
Morning;No;No;Heridos;Atropello;CL 40 41 117;CL;40;;;1;si;no;no;2018;January;Fri;6.33;Moderado
Morning;Si;No;Material;Choque;CL 40 43 18;CL;40;;;1;no;no;no;2018;April;Thu;7.0;Moderado
Tarde;No;No;Material;Choque;CL 40 44 69;CL;40;;;1;no;no;no;2018;November;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CL 40 45 57;CL;40;;;1;no;no;no;2018;February;Mon;4.33;Bajo
Tarde;No;No;Material;Otro;CL 40 45 71;CL;40;;;1;no;no;no;2019;October;Mon;4.33;Bajo
Morning;No;No;Material;Choque;CL 40 45 45;CL;40;;;1;no;no;no;2018;April;Tue;4.0;Bajo
Noche;No;No;Material;Choque;CL 40 8E 26;CL;40;;;1;no;no;no;2020;November;Mon;4.67;Bajo
Morning;Si;No;Material;Choque;CL 40 B CR 22;CL;40;CR;22;1;no;no;no;2022;March;Thu;7.0;Moderado
Morning;No;No;Heridos;Choque;CL 40 CR 10;CL;40;CR;10;1;si;no;no;2021;December;Sat;5.0;Bajo
Morning;Si;No;Heridos;Choque;CR 11 CL 40;CR;11;CL;40;1;si;no;no;2019;January;Wed;8.0;Moderado
Morning;Si;No;Material;Choque;CR 14 CL 40;CR;14;CL;40;4;no;no;no;2018;January;Thu;9.0;Moderado
Tarde;No;No;Material;Choque;CR 14 CL 40;CR;14;CL;40;4;no;no;no;2020;November;Fri;6.33;Moderado
Tarde;No;No;Heridos;Choque;CL 40 CR 14;CL;40;CR;14;1;si;no;no;2021;March;Fri;5.33;Bajo
Tarde;No;No;Material;Choque;CR 14 CL 40;CR;14;CL;40;4;no;no;no;2021;August;Thu;6.33;Moderado
Morning;Si;No;Heridos;Choque;CR 14 CL 40;CR;14;CL;40;4;si;no;no;2021;August;Mon;10.0;Moderado
Morning;No;No;Heridos;Choque;CL 40 CR 14;CL;40;CR;14;3;si;no;no;2021;October;Fri;7.0;Moderado
Tarde;No;No;Heridos;Choque;CL 40 CR 14;CL;40;CR;14;2;si;no;no;2022;January;Tue;6.33;Moderado
Noche;No;No;Heridos;Choque;CR 14 CL 40;CR;14;CL;40;5;si;no;no;2022;January;Sat;7.67;Moderado
Morning;Si;No;Heridos;Choque;CR 14 CL 40;CR;14;CL;40;5;si;no;no;2022;February;Sun;10.0;Moderado
Noche;No;No;Material;Choque;CL 40 CR 14;CL;40;CR;14;2;no;no;no;2022;February;Fri;5.67;Bajo
Tarde;No;No;Heridos;Choque;CL 40 CR 14;CL;40;CR;14;3;si;no;no;2022;March;Tue;7.33;Moderado
Morning;No;No;Heridos;Choque;CR 14 CL 40;CR;14;CL;40;5;si;no;no;2022;April;Tue;7.0;Moderado
Tarde;No;No;Material;Choque;CR 14 CL 40;CR;14;CL;40;5;no;no;no;2022;June;Thu;6.33;Moderado
Noche;No;Si;Heridos;Choque;CR 14 CL 40;CR;14;CL;40;5;si;no;no;2022;July;Fri;10.67;Alto
Tarde;No;No;Heridos;Choque;CL 40 CR 14;CL;40;CR;14;3;si;no;no;2022;October;Sat;7.33;Moderado
Morning;Si;No;Muertos;Choque;CL 40 CR 14;CL;40;CR;14;3;no;no;no;2022;December;Thu;11.0;Alto
Noche;No;No;Heridos;Choque;CL 40 CR 14;CL;40;CR;14;3;si;no;no;2023;March;Thu;7.67;Moderado
Noche;No;No;Muertos;Choque;CL 40 CR 14;CL;40;CR;14;3;no;no;no;2024;December;Mon;8.67;Moderado
Noche;No;Si;Material;Choque;CR 14 CL 40 41;CR;14;CL;40;1;no;no;no;2018;September;Sat;7.67;Moderado
Morning;Si;No;Material;Choque;CL 40 CR 17;CL;40;CR;17;1;no;no;no;2018;February;Wed;7.0;Moderado
Tarde;No;No;Heridos;Choque;CL 40 CR 17;CL;40;CR;17;1;si;no;no;2023;November;Sat;5.33;Bajo
Noche;No;Si;Material;Choque;CL 40 CR 19;CL;40;CR;19;1;no;no;no;2019;March;Thu;7.67;Moderado
Noche;No;No;Heridos;Choque;CR 19 CL 40;CR;19;CL;40;1;si;no;no;2019;December;Sun;5.67;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 19;CL;40;CR;19;1;no;no;no;2021;December;Fri;4.33;Bajo
Noche;No;Si;Material;Choque;CL 40 CR 19;CL;40;CR;19;1;no;no;no;2022;January;Wed;7.67;Moderado
Tarde;No;No;Heridos;Choque;CR 19 CL 40;CR;19;CL;40;1;si;no;no;2023;September;Tue;5.33;Bajo
Morning;Si;No;Heridos;Choque;CR 20 CL 40;CR;20;CL;40;2;si;no;no;2018;February;Fri;9.0;Moderado
Tarde;No;No;Material;Choque;CR 20 CL 40;CR;20;CL;40;2;no;no;no;2022;August;Mon;5.33;Bajo
Morning;Si;No;Heridos;Choque;CL 40 CR 20;CL;40;CR;20;1;si;no;no;2023;March;Fri;8.0;Moderado
Noche;No;No;Heridos;Choque;CR 21 CL 40;CR;21;CL;40;3;si;no;no;2018;September;Thu;7.67;Moderado
Noche;No;Si;Heridos;Choque;CR 21 CL 40;CR;21;CL;40;1;si;no;no;2019;April;Mon;8.67;Moderado
Tarde;No;No;Material;Choque;CR 21 CL 40;CR;21;CL;40;3;no;no;no;2022;April;Thu;6.33;Moderado
Tarde;No;No;Heridos;Choque;CR 21 CL 40;CR;21;CL;40;3;si;no;no;2023;February;Fri;7.33;Moderado
Tarde;No;No;Material;Choque;CR 21 CL 40 40B;CR;21;CL;40;1;no;no;no;2018;September;Wed;4.33;Bajo
Tarde;No;No;Heridos;Choque;CR 22 CL 40;CR;22;CL;40;2;si;no;no;2018;September;Thu;6.33;Moderado
Noche;No;No;Heridos;Choque;CR 22 CL 40;CR;22;CL;40;2;si;no;no;2019;September;Sun;6.67;Moderado
Noche;No;No;Material;Choque;CR 22 CL 40;CR;22;CL;40;1;no;no;no;2022;May;Tue;4.67;Bajo
Morning;No;No;Heridos;Choque;CR 23 CL 40;CR;23;CL;40;2;si;no;no;2018;October;Mon;6.0;Bajo
Noche;No;Si;Heridos;Choque;CL 40 CR 23;CL;40;CR;23;1;si;no;no;2019;March;Sun;8.67;Moderado
Noche;No;Si;Material;Choque;CR 23 CL 40;CR;23;CL;40;2;no;no;no;2021;April;Fri;8.67;Moderado
Tarde;No;No;Heridos;Choque;CL 40 CR 23;CL;40;CR;23;1;si;no;no;2022;December;Fri;5.33;Bajo
Tarde;No;No;Heridos;Choque;CR 23 CL 40;CR;23;CL;40;1;si;no;no;2023;October;Sun;5.33;Bajo
Tarde;No;Si;Heridos;Choque;CR 24 CL 40;CR;24;CL;40;2;si;no;no;2018;April;Fri;9.33;Moderado
Morning;No;No;Material;Choque;CR 24 CL 40;CR;24;CL;40;2;no;no;no;2018;May;Wed;5.0;Bajo
Noche;No;Si;Material;Choque;CL 40 CR 24;CL;40;CR;24;2;no;no;no;2019;April;Mon;8.67;Moderado
Tarde;No;No;Material;Choque;CR 24 CL 40;CR;24;CL;40;1;no;no;no;2019;July;Mon;4.33;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 24;CL;40;CR;24;2;no;no;no;2021;May;Mon;5.33;Bajo
Morning;No;No;Heridos;Choque;CL 40 CR 25;CL;40;CR;25;1;si;no;no;2024;November;Fri;5.0;Bajo
Morning;Si;No;Heridos;Choque;CL 40 CR 26;CL;40;CR;26;2;si;no;no;2018;July;Mon;9.0;Moderado
Noche;No;No;Material;Choque;CL 40 CR 26;CL;40;CR;26;2;no;no;no;2018;December;Sun;5.67;Bajo
Morning;No;No;Material;Choque;CL 40 CR 26;CL;40;CR;26;2;no;no;no;2019;March;Sat;5.0;Bajo
Noche;No;No;Heridos;Choque;CL 40 CR 26;CL;40;CR;26;2;si;no;no;2019;December;Tue;6.67;Moderado
Tarde;No;No;Material;Choque;CLL 40 CR 26A;CR;26A;;;1;no;no;no;2021;April;Fri;4.33;Bajo
Tarde;No;No;Heridos;Choque;CL 40 CR 27;CL;40;CR;27;1;si;no;no;2018;May;Thu;5.33;Bajo
Noche;No;No;Heridos;Choque;CR 27 CL 40;CR;27;CL;40;1;si;no;no;2018;September;Sat;5.67;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 27;CL;40;CR;27;1;no;no;no;2018;September;Tue;4.33;Bajo
Morning;No;No;Heridos;Choque;CL 40 CR 27;CL;40;CR;27;1;si;no;no;2022;April;Sat;5.0;Bajo
Tarde;No;No;Heridos;Choque;CL 40 CR 3 SUR;CL;40;CR;3;1;si;no;no;2021;June;Tue;5.33;Bajo
Morning;No;No;Material;Choque;CL 40 CR 31;CL;40;CR;31;2;no;no;no;2019;June;Tue;5.0;Bajo
Tarde;No;No;Heridos;Choque;CL 40 CR 31;CL;40;CR;31;2;si;no;no;2021;January;Fri;6.33;Moderado
Morning;No;No;Material;Choque;CR 32 CL 40;CR;32;CL;40;1;no;no;no;2018;April;Mon;4.0;Bajo
Noche;No;Si;Material;Choque;CR 32 CL 40;CR;32;CL;40;1;no;no;no;2020;January;Thu;7.67;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 32;CL;40;CR;32;1;no;no;no;2022;May;Sat;4.33;Bajo
Tarde;No;No;Material;Choque;CR 33 CL 40;CR;33;CL;40;1;no;no;no;2021;May;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 33;CL;40;CR;33;1;no;no;no;2021;June;Wed;4.33;Bajo
Tarde;No;No;Heridos;Choque;CR 33 CL 40;CR;33;CL;40;1;si;no;no;2022;March;Fri;5.33;Bajo
Tarde;No;No;Heridos;Choque;CL 40 CR 33;CL;40;CR;33;1;si;no;no;2022;December;Tue;5.33;Bajo
Noche;No;No;Heridos;Choque;CL 40 CR 33;CL;40;CR;33;1;si;no;no;2024;January;Sat;5.67;Bajo
Noche;No;No;Heridos;Choque;CL 40 CR 33;CL;40;CR;33;1;si;no;no;2024;August;Fri;5.67;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 35;CL;40;CR;35;1;no;no;no;2018;August;Thu;4.33;Bajo
Morning;Si;No;Material;Choque;CR 35 CL 40;CR;35;CL;40;2;no;no;no;2022;March;Sat;8.0;Moderado
Noche;No;No;Heridos;Choque;CR 35 CL 40;CR;35;CL;40;2;si;no;no;2023;October;Sun;6.67;Moderado
Noche;No;Si;Material;Choque;CL 40 CR 36;CL;40;CR;36;1;no;no;no;2018;June;Fri;7.67;Moderado
Tarde;No;No;Material;Choque;CR 38 CL 40;CR;38;CL;40;5;no;no;no;2018;March;Mon;6.33;Moderado
Morning;Si;No;Material;Choque;CR 38 CL 40;CR;38;CL;40;5;no;no;no;2018;July;Fri;9.0;Moderado
Noche;No;No;Material;Choque;CR 38 CL 40;CR;38;CL;40;1;no;no;no;2019;March;Sun;4.67;Bajo
Tarde;No;No;Material;Choque;CR 38 CL 40;CR;38;CL;40;5;no;no;no;2019;September;Sat;6.33;Moderado
Morning;No;No;Heridos;Choque;CR 38 CL 40;CR;38;CL;40;5;si;no;no;2019;December;Mon;7.0;Moderado
Morning;No;No;Material;Choque;CR 38 CL 40;CR;38;CL;40;5;no;no;no;2020;October;Fri;6.0;Bajo
Morning;Si;No;Heridos;Choque;CR 38 CL 40;CR;38;CL;40;5;si;no;no;2021;January;Sun;10.0;Moderado
Morning;No;No;Material;Choque;CR 38 CL 40;CR;38;CL;40;5;no;no;no;2022;February;Thu;6.0;Bajo
Morning;No;No;Heridos;Choque;CR 38 CL 40;CR;38;CL;40;5;si;no;no;2022;September;Mon;7.0;Moderado
Morning;No;No;Heridos;Atropello;CR 38 CL 40;CR;38;CL;40;5;si;no;no;2025;March;Fri;8.33;Moderado
Noche;No;No;Heridos;Choque;CR 38 CL 40;CR;38;CL;40;5;si;no;no;2025;May;Sun;7.67;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 38 46;CL;40;CR;38;1;no;no;no;2019;January;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 39;CL;40;CR;39;2;no;no;no;2020;January;Thu;5.33;Bajo
Tarde;No;No;Heridos;Atropello;CL 40 CR 39;CL;40;CR;39;2;si;no;no;2020;July;Thu;7.67;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 39;CL;40;CR;39;1;no;no;no;2022;April;Sat;4.33;Bajo
Noche;No;No;Heridos;Choque;CL 40 CR 39;CL;40;CR;39;1;si;no;no;2023;February;Wed;5.67;Bajo
Tarde;No;No;Material;Choque;CR 4 CL 40;CR;4;CL;40;1;no;no;no;2018;March;Wed;4.33;Bajo
Morning;No;No;Material;Choque;CR 40 CL 40;CR;40;CL;40;3;no;no;no;2018;May;Mon;6.0;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 40;CL;40;CR;40;4;no;no;no;2018;July;Sun;6.33;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 40;CL;40;CR;40;4;no;no;no;2019;March;Sun;6.33;Moderado
Tarde;No;No;Heridos;Choque;CL 40 CR 40;CL;40;CR;40;4;si;no;no;2019;March;Sat;7.33;Moderado
Morning;No;No;Material;Choque;CL 40 CR 40;CL;40;CR;40;4;no;no;no;2020;December;Wed;6.0;Bajo
Noche;No;No;Material;Choque;CR 40 CL 40;CR;40;CL;40;1;no;no;no;2021;February;Thu;4.67;Bajo
Tarde;No;No;Material;Choque;CR 40 CL 40;CR;40;CL;40;3;no;no;no;2022;April;Thu;6.33;Moderado
Morning;No;No;Heridos;Choque;CL 40 CR 40;CL;40;CR;40;2;si;no;no;2023;March;Thu;6.0;Bajo
Morning;Si;No;Heridos;Choque;CL 40 CR 40;CL;40;CR;40;1;si;no;no;2023;April;Tue;8.0;Moderado
Tarde;No;No;Heridos;Choque;CR 40 CL 40;CR;40;CL;40;3;si;no;no;2023;October;Wed;7.33;Moderado
Noche;No;No;Heridos;Atropello;CL 40 CR 40;CL;40;CR;40;2;si;no;no;2024;September;Mon;8.0;Moderado
Morning;No;No;Heridos;Choque;CR 41 CL 40;CR;41;CL;40;1;si;no;no;2019;April;Wed;5.0;Bajo
Noche;No;Si;Material;Choque;CL 40 CR 41;CL;40;CR;41;1;no;no;no;2021;February;Sun;7.67;Moderado
Morning;No;No;Heridos;Choque;CR 41 CL 40;CR;41;CL;40;2;si;no;no;2022;August;Sun;6.0;Bajo
Morning;No;No;Heridos;Choque;CR 41 CL 40;CR;41;CL;40;2;si;no;no;2023;July;Wed;6.0;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 43;CL;40;CR;43;2;no;no;no;2018;February;Mon;5.33;Bajo
Tarde;No;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;2;no;no;no;2018;April;Wed;5.33;Bajo
Morning;Si;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;6;no;no;no;2018;May;Sat;9.0;Moderado
Morning;No;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;6;no;no;no;2018;August;Mon;6.0;Bajo
Tarde;No;No;Heridos;Choque;CR 43 CL 40;CR;43;CL;40;6;si;no;no;2018;August;Fri;7.33;Moderado
Morning;No;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;2;no;no;no;2019;April;Wed;5.0;Bajo
Morning;Si;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;6;no;no;no;2019;May;Tue;9.0;Moderado
Morning;No;No;Heridos;Atropello;CL 40 CR 43;CL;40;CR;43;2;si;no;no;2019;October;Thu;7.33;Moderado
Noche;No;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;6;no;no;no;2020;December;Mon;6.67;Moderado
Noche;No;No;Heridos;Choque;CR 43 CL 40;CR;43;CL;40;6;si;no;no;2021;November;Fri;7.67;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 43;CL;40;CR;43;2;no;no;no;2022;April;Sat;5.33;Bajo
Noche;No;No;Material;Choque;CR 43 CL 40;CR;43;CL;40;1;no;no;no;2022;April;Sun;4.67;Bajo
Noche;No;No;Heridos;Choque;CL 40 CR 43;CL;40;CR;43;2;si;no;no;2024;May;Sun;6.67;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 44;CL;40;CR;44;2;no;no;no;2018;March;Mon;5.33;Bajo
Noche;No;Si;Material;Choque;CR 44 CL 40;CR;44;CL;40;5;no;no;no;2018;March;Sat;9.67;Moderado
Tarde;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;1;no;no;no;2018;April;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 44;CL;40;CR;44;2;no;no;no;2018;June;Wed;5.33;Bajo
Morning;Si;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2018;July;Mon;9.0;Moderado
Tarde;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2018;December;Tue;6.33;Moderado
Morning;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2018;December;Sun;6.0;Bajo
Tarde;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2019;June;Thu;6.33;Moderado
Morning;Si;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2019;October;Sat;9.0;Moderado
Morning;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2019;October;Fri;6.0;Bajo
Tarde;No;No;Heridos;Caida Ocupante;CR 44 CL 40;CR;44;CL;40;5;si;no;no;2024;December;Thu;8.0;Moderado
Tarde;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2019;November;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2020;January;Fri;6.33;Moderado
Morning;No;No;Heridos;Choque;CR 44 CL 40;CR;44;CL;40;12;si;no;no;2020;June;Tue;7.0;Moderado
Noche;No;Si;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2020;October;Sat;9.67;Moderado
Noche;No;Si;Material;Choque;CR 44 CL 40;CR;44;CL;40;12;no;no;no;2021;January;Fri;9.67;Moderado
Tarde;No;No;Heridos;Choque;CR 44 CL 40;CR;44;CL;40;12;si;no;no;2021;February;Sun;7.33;Moderado
Tarde;No;No;Material;Choque;CL 40 CR 44;CL;40;CR;44;1;no;no;no;2022;January;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;CR 44 CL 40;CR;44;CL;40;5;no;no;no;2022;May;Thu;6.33;Moderado
Tarde;No;No;Heridos;Choque;CR 44 CL 40;CR;44;CL;40;5;si;no;no;2024;March;Sun;7.33;Moderado
Tarde;No;No;Heridos;Choque;CR 44 CL 40;CR;44;CL;40;5;si;no;no;2025;June;Sat;7.33;Moderado
Morning;No;No;Heridos;Caida Ocupante;CR 44 CL 40 51;CR;44;CL;40;1;si;no;no;2020;October;Fri;5.67;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 44 45;CL;40;CR;44;2;no;no;no;2019;February;Thu;5.33;Bajo
Morning;Si;No;Material;Choque;CL 40 CR 44 45;CL;40;CR;44;2;no;no;no;2021;June;Tue;8.0;Moderado
Morning;No;No;Material;Choque;CL 40 CR 45;CL;40;CR;45;1;no;no;no;2018;November;Wed;4.0;Bajo
Morning;Si;No;Material;Choque;CR 45 CL 40;CR;45;CL;40;2;no;no;no;2021;August;Tue;8.0;Moderado
Morning;No;No;Material;Choque;CR 45 CL 40;CR;45;CL;40;2;no;no;no;2021;September;Wed;5.0;Bajo
Morning;Si;No;Heridos;Choque;CR 45 CL 40;CR;45;CL;40;3;si;no;no;2022;March;Thu;10.0;Moderado
Noche;No;Si;Heridos;Choque;CR 45 CL 40;CR;45;CL;40;3;si;no;no;2022;August;Tue;10.67;Alto
Noche;No;No;Heridos;Choque;CR 45 CL 40;CR;45;CL;40;3;si;no;no;2023;November;Mon;7.67;Moderado
Morning;No;No;Material;Choque;CR 46 CL 40;CR;46;CL;40;1;no;no;no;2018;February;Thu;4.0;Bajo
Tarde;No;No;Heridos;Choque;CL 40 CR 46;CL;40;CR;46;1;si;no;no;2018;October;Fri;5.33;Bajo
Morning;No;No;Material;Choque;CR 46 CL 40;CR;46;CL;40;3;no;no;no;2018;December;Sat;6.0;Bajo
Tarde;No;No;Material;Choque;CL 40 CR 46;CL;40;CR;46;2;no;no;no;2018;December;Sun;5.33;Bajo
Morning;Si;No;Material;Choque;CR 46 CL 40;CR;46;CL;40;3;no;no;no;2019;October;Tue;9.0;Moderado
Noche;No;Si;Material;Choque;CL 40 CR 46;CL;40;CR;46;2;no;no;no;2019;November;Mon;8.67;Moderado
