Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;No;Material;Choque;AV 110 CR 11;AV;110;CR;11;1;no;no;no;2019;August;Sat;4.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 11 SUR;AV;110;CR;11;1;no;no;no;2019;July;Wed;4.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 12;AV;110;CR;12;2;no;no;no;2019;November;Tue;5.33;Bajo
Morning;No;No;Heridos;Atropello;AV 110 CR 12;AV;110;CR;12;2;si;no;no;2019;November;Tue;7.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 12;AV;110;CR;12;2;no;no;no;2020;December;Sat;5.33;Bajo
Morning;Si;No;Material;Choque;AV 110 CR 12;AV;110;CR;12;2;no;no;no;2021;August;Sat;8.0;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 12E;AV;110;CR;12E;1;no;no;no;2019;June;Fri;4.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 13;AV;110;CR;13;1;no;no;no;2019;January;Thu;4.0;Bajo
Noche;No;No;Material;Choque;AV 110 CR 13;AV;110;CR;13;1;no;no;no;2021;March;Sun;4.67;Bajo
Noche;No;No;Material;Choque;AV 110 CR 14;AV;110;CR;14;1;no;no;no;2021;August;Tue;4.67;Bajo
Noche;No;Si;Material;Choque;AV 110 CR 15 SUR;AV;110;CR;15;3;no;no;no;2019;January;Sat;9.67;Moderado
Tarde;No;No;Heridos;Choque;AV 110 CR 15 SUR;AV;110;CR;15;4;si;no;no;2019;December;Tue;7.33;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 15 SUR;AV;110;CR;15;3;no;no;no;2020;February;Thu;9.0;Moderado
Morning;Si;No;Heridos;Choque;AV 110 CR 15 SUR;AV;110;CR;15;3;si;no;no;2020;September;Sun;10.0;Moderado
Tarde;No;Si;Heridos;Choque;AV 110 CR 15 SUR;AV;110;CR;15;4;si;no;no;2021;February;Sun;10.33;Alto
Tarde;No;No;Heridos;Choque;AV 110 CR 15 SUR;AV;110;CR;15;4;si;no;no;2021;April;Thu;7.33;Moderado
Morning;No;No;Material;Choque;AV 110 CR 15 SUR;AV;110;CR;15;4;no;no;no;2021;June;Sun;6.0;Bajo
